# Dataset "150K (-)" exported from GenX on Fri Dec  9 11:04:04 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
1.531855306394999845e-02 1.489889166480145785e-02 1.484324999999999881e-02 3.077104000000000211e-04 4.269140397382241306e-04
1.557175495889999949e-02 1.397743895622127926e-02 1.364791999999999915e-02 2.888794999999999774e-04 4.279732777508895116e-04
1.583346328664999789e-02 1.309002084497726953e-02 1.301419000000000013e-02 2.740153000000000055e-04 4.290970780604314657e-04
1.610411587829999741e-02 1.223589848899615112e-02 1.273917999999999925e-02 2.630288999999999848e-04 4.302903727154606017e-04
1.638419226315000060e-02 1.141439574043177224e-02 1.148159999999999979e-02 2.451107000000000112e-04 4.315590601595104903e-04
1.667417197050000133e-02 1.062501564931518303e-02 1.085494000000000042e-02 2.388203000000000146e-04 4.329095859636743768e-04
1.697460750150000044e-02 9.867226970061340058e-03 1.016487999999999940e-02 2.358177000000000038e-04 4.343488630240097690e-04
1.728607220639999734e-02 9.140615860531378298e-03 9.143969000000000055e-03 2.327818000000000216e-04 4.358852927574524000e-04
1.760918113364999885e-02 8.444823657825761484e-03 8.268567000000000972e-03 2.153645999999999946e-04 4.375268254935804862e-04
1.794459102989999846e-02 7.779546563806916115e-03 7.823900999999999425e-03 2.030342999999999883e-04 4.392838257434935494e-04
1.829303161364999666e-02 7.144476993548958682e-03 7.193027999999999748e-03 1.890158999999999871e-04 4.411668454023375419e-04
1.865526387704999692e-02 6.539387831514813405e-03 6.570138000000000540e-03 1.753923999999999913e-04 4.431880310990359028e-04
1.903214263319999780e-02 5.964023266168703985e-03 6.095963000000000249e-03 1.673301000000000194e-04 4.453609031031349774e-04
1.942455396884999741e-02 5.418204634025419221e-03 5.323310999999999842e-03 1.556511999999999913e-04 4.477005926951180682e-04
1.983349864079999789e-02 4.901706475300388055e-03 4.742688000000000112e-03 1.443129999999999988e-04 4.502244240799137547e-04
2.026001910404999842e-02 4.414360581064200213e-03 4.355850999999999994e-03 1.360646999999999985e-04 4.529512505866829081e-04
2.070529333274999731e-02 3.955940518132912247e-03 4.211180999999999605e-03 1.322774000000000085e-04 4.559031353579507751e-04
2.117058269744999735e-02 3.526230525897996581e-03 3.587682999999999931e-03 1.196311999999999940e-04 4.591042075980571809e-04
2.165726323874999498e-02 3.124990057766637193e-03 3.273952000000000112e-03 1.134934999999999866e-04 4.625828551739028936e-04
2.216684651639999962e-02 2.751938116098474364e-03 2.560215000000000234e-03 9.906548999999999466e-05 4.663704045834812686e-04
2.270099003384999647e-02 2.406748381736649022e-03 2.476396000000000066e-03 9.564569999999999127e-05 4.705027927231144485e-04
2.326150766279999615e-02 2.089041817787979510e-03 2.199406000000000104e-03 8.901738000000000456e-05 4.750215903624171055e-04
2.347405381275000091e-02 1.978368176577244893e-03 2.027614000000000066e-03 4.834965999999999949e-05 4.584423298726242107e-04
2.380701393974999497e-02 1.817450937351369235e-03 1.865322000000000204e-03 4.407747000000000406e-05 4.602669835131018797e-04
2.385040091684999947e-02 1.798366966550697795e-03 1.814881000000000176e-03 8.025946999999999747e-05 4.799737542889715271e-04
2.414956465274999825e-02 1.664893085819636308e-03 1.659303000000000210e-03 4.024537999999999786e-05 4.621787502033818302e-04
2.450211250919999764e-02 1.520594928150823238e-03 1.527630999999999998e-03 3.668270000000000032e-05 4.641833525222118450e-04
2.486510576474999790e-02 1.384438789346027548e-03 1.339958999999999942e-03 3.360189000000000025e-05 4.662868211425667581e-04
2.523901352414999882e-02 1.256298609488498176e-03 1.197174999999999975e-03 3.087198999999999781e-05 4.684957664321418524e-04
2.562434659034999729e-02 1.136032662555253210e-03 1.184688000000000147e-03 2.984039000000000247e-05 4.708172485761752705e-04
2.602162619084999809e-02 1.023493726251111869e-03 1.017637999999999963e-03 2.713298000000000123e-05 4.732588498934700008e-04
2.643141525134999961e-02 9.185185204578042448e-04 9.105362999999999781e-04 2.560300999999999934e-05 4.758296724030669153e-04
2.685431839574999729e-02 8.209287594051264134e-04 7.979826000000000193e-04 2.484828999999999990e-05 4.785375174685888825e-04
2.729097152159999998e-02 7.305339965065201033e-04 7.056452999999999641e-04 2.338695000000000145e-05 4.813937886868088854e-04
2.774206264919999720e-02 6.471270176570229245e-04 6.404474999999999968e-04 2.181418999999999790e-05 4.844076875205429508e-04
2.820831107249999886e-02 5.704884204790715545e-04 5.642288000000000078e-04 1.986634999999999996e-05 4.875925017165973750e-04
2.869050905729999754e-02 5.003796719556682059e-04 4.788470000000000183e-04 1.777985999999999954e-05 4.909601870803374703e-04
2.918946971849999822e-02 4.365519468745336705e-04 4.125420000000000085e-04 1.619644999999999974e-05 4.945251278033908080e-04
2.970609999194999754e-02 3.787363392266590383e-04 3.624785000000000160e-04 1.523437000000000064e-05 4.983027301136930829e-04
3.024133808714999858e-02 3.266530721647911695e-04 3.216272000000000163e-04 1.465327999999999940e-05 5.023096435690240728e-04
3.079623688364999806e-02 2.800038187891447979e-04 2.737058999999999911e-04 1.406612000000000044e-05 5.065656537708118461e-04
3.137187011010000165e-02 2.384820476389405469e-04 2.195621999999999830e-04 1.227282000000000018e-05 5.110893852284647404e-04
3.196942616519999475e-02 2.017663575967410699e-04 1.909005000000000131e-04 1.107608000000000086e-05 5.159050501410118814e-04
3.259018726859999604e-02 1.695252393310126503e-04 1.606208999999999990e-04 9.873805999999999973e-06 5.210369088012479100e-04
3.323553988544999255e-02 1.414192573707710125e-04 1.466353999999999954e-04 9.148450999999999868e-06 5.265125877471971876e-04
3.390696430184999416e-02 1.171044249051398636e-04 1.126786000000000091e-04 7.974272999999998656e-06 5.323628598469374489e-04
